qid,P31,P21,P2925,P22,P25,P460,P1889,P4185,P157,P1074
Q1139470,Q22988604,Q6581072,,Q301219,Q2108224,,,,,
Q15138255,Q22988604,Q6581097,,Q404844,Q12873965,,,,,
Q871361,Q22988604,Q6581097,,Q1525379,Q3028716,,,,Q555521,
Q2262042,Q22988604,Q6581097,,,,,,,,
Q776139,Q22988604,Q6581072,,Q27613,Q978079,Q1770908,Q403824,,,
Q762835,Q273320,Q6581072,,,,Q1183352,,,,
Q1121944,Q273320,Q6581072,,,,Q1544642,,,,
Q2217186,Q273320,Q6581072,,,,,,,,
Q464091,Q163709,Q6581097,,Q41484,Q93172,,Q588632,,,
Q663792,Q22988604,Q6581097,,Q409895,,,,,,
Q368423,Q22988604,Q6581072,,Q1456409,,Q3629895,,,,
Q1246563,Q22988604,Q6581072,,,,,,,,
Q1367860,Q22988604,Q6581097,,,,,,,,
Q182101,Q22988604,Q6581097,,Q34201,Q662968,,Q515531,,,
Q331327,Q22988604,Q6581097,,Q206187,Q2293816,,,,,
Q916442,Q22988604,Q6581097,,Q122248,Q760213,,,,,
Q192482,Q22988604,Q6581097,,Q47231,Q165769,,Q125567497,,Q1401858,
Q1138506,Q22988604,Q6581097,,Q40901,Q11909453,,,,,
Q104042,Q22988604,Q6581072,,Q34201,Q102884,,Q443833,,,
Q1320718,Q22988604,Q6581097,,Q191725,Q11921121,,Q410475,,Q1330532,
Q184437,Q22988604,Q6581072,,Q189527,Q726279,,Q26761044,,,
Q1400413,Q22988604,Q6581097,,Q916442,,,,,,
Q3991817,Q22988604,Q6581072,,Q79999,Q93172,,,,,
Q737306,Q22988604,Q6581097,,Q332324,,,,,,
Q656887,Q22988604,Q6581097,,Q34201,Q1133495,,Q1933958,,,
